mu, G with Pr = 0.2, G with Pr = 1, G with Pr = 4, G with Pr = 8
0,0,0,0,0
0,1,1,1,1
0.1,0.98159,0.966795,0.946523,0.932446
0.2,0.963181,0.933592,0.893066,0.864944
0.3,0.944773,0.900402,0.839684,0.797628
0.4,0.926368,0.867236,0.786463,0.730721
0.5,0.907968,0.834115,0.733528,0.664528
0.6,0.889575,0.801063,0.681032,0.599431
0.7,0.871194,0.76811,0.629163,0.535877
0.8,0.852827,0.735291,0.578133,0.474362
0.9,0.83448,0.702646,0.528176,0.415406
1,0.816158,0.67022,0.479544,0.359536
1.1,0.797866,0.638062,0.432499,0.307247
1.2,0.779611,0.606224,0.3873,0.258982
1.3,0.761399,0.574763,0.344203,0.215099
1.4,0.743238,0.543739,0.303445,0.175845
1.5,0.725135,0.513211,0.265237,0.141346
1.6,0.7071,0.483244,0.229754,0.11159
1.7,0.68914,0.4539,0.197132,0.0864348
1.8,0.671265,0.425242,0.167455,0.0656143
1.9,0.653484,0.397334,0.14076,0.0487627
2,0.635808,0.370235,0.117026,0.0354401
2.1,0.618246,0.344002,0.0961843,0.0251631
2.2,0.600809,0.31869,0.0781148,0.0174361
2.3,0.583509,0.294348,0.0626569,0.0117793
2.4,0.566354,0.271019,0.049615,0.00775093
2.5,0.549357,0.248741,0.0387679,0.00496304
2.6,0.532529,0.227546,0.0298786,0.00308972
2.7,0.51588,0.207457,0.0227037,0.00186856
2.8,0.499422,0.188491,0.0170023,0.00109694
2.9,0.483165,0.170657,0.0125438,0.000624683
3,0.46712,0.153956,0.00911387,0.000344917
3.1,0.451298,0.138382,0.00651896,0.000184603
3.2,0.435708,0.123919,0.00458897,9.5796e-05
3.3,0.420361,0.110548,0.00317818,4.82628e-05
3.4,0.405267,0.0982396,0.00216495,2.36919e-05
3.5,0.390433,0.0869604,0.00145012,1.14304e-05
3.6,0.37587,0.0766711,0.000954857,5.52519e-06
3.7,0.361586,0.0673278,0.000617952,2.7812e-06
3.8,0.347587,0.0588828,0.000392972,1.55116e-06
3.9,0.333881,0.0512853,0.000245514,1.01927e-06
4,0.320475,0.0444826,0.000150668,7.97393e-07
4.1,0.307374,0.0384203,9.08105e-05,7.08096e-07
4.2,0.294585,0.0330437,5.37477e-05,6.73413e-07
4.3,0.282111,0.0282982,3.12355e-05,6.60407e-07
4.4,0.269956,0.02413,1.78224e-05,6.55696e-07
4.5,0.258124,0.0204865,9.98405e-06,6.54047e-07
4.6,0.246618,0.0173173,5.49148e-06,6.53488e-07
4.7,0.235439,0.0145741,2.96621e-06,6.53304e-07
4.8,0.224589,0.0122112,1.57416e-06,6.53246e-07
4.9,0.214069,0.0101861,8.21647e-07,6.53228e-07
5,0.203879,0.00845887,4.22721e-07,6.53223e-07
5.1,0.194017,0.00699305,2.15336e-07,6.53221e-07
5.2,0.184484,0.00575523,1.0961e-07,6.53221e-07
5.3,0.175277,0.00471511,5.67531e-08,6.5322e-07
5.4,0.166393,0.00384545,3.0838e-08,6.5322e-07
5.5,0.157831,0.00312193,1.8377e-08,6.5322e-07
5.6,0.149586,0.00252298,1.25005e-08,6.5322e-07
5.7,0.141656,0.00202961,9.78237e-09,6.5322e-07
5.8,0.134034,0.00162524,8.54916e-09,6.5322e-07
5.9,0.126717,0.00129546,8.00031e-09,6.5322e-07
6,0.1197,0.00102786,7.76067e-09,6.5322e-07
6.1,0.112977,0.000811779,7.65802e-09,6.5322e-07
6.2,0.106541,0.00063818,7.61487e-09,6.5322e-07
6.3,0.100388,0.000499402,7.59707e-09,6.5322e-07
6.4,0.0945099,0.000389013,7.58987e-09,6.5322e-07
